Counts_,ICD-9 description_,Subgroups_,ICD-9
0,",Shigella dysenteriae                                                                                                            ,",,",004.0                                                                                                                           ,"
0,",Shigella flexneri                                                                                                               ,",,",004.1                                                                                                                           ,"
0,",Shigella sonnei                                                                                                                 ,",,",004.3                                                                                                                           ,"
0,",Shigellosis, unspecified                                                                                                        ,",,",004.9                                                                                                                           ,"
0,",Food poisoning, unspecified                                                                                                     ,",,",005.9                                                                                                                           ,"
0,",Amebic liver abscess                                                                                                            ,",,",006.3                                                                                                                           ,"
0,",Giardiasis                                                                                                                      ,",,",007.1                                                                                                                           ,"
0,",Cryptosporidiosis                                                                                                               ,",,",007.4                                                                                                                           ,"
0,",Intestinal infection due to E. coli, unspecified                                                                                ,",,",008.00                                                                                                                          ,"
0,",Intestinal infection due to staphylococcus                                                                                      ,",,",008.41                                                                                                                          ,"
0,",Intestinal infection due to campylobacter                                                                                       ,",,",008.43                                                                                                                          ,"
0,",Intestinal infection due to other gram-negative bacteria                                                                        ,",,",008.47                                                                                                                          ,"
0,",Intestinal infection due to other organisms                                                                                     ,",,",008.49                                                                                                                          ,"
0,",Bacterial enteritis, unspecified                                                                                                ,",,",008.5                                                                                                                           ,"
0,",Enteritis due to rotavirus                                                                                                      ,",,",008.61                                                                                                                          ,"
0,",Enteritis due to adenovirus                                                                                                     ,",,",008.62                                                                                                                          ,"
0,",Enteritis due to norwalk virus                                                                                                  ,",,",008.63                                                                                                                          ,"
0,",Enteritis due to enterovirus nec                                                                                                ,",,",008.67                                                                                                                          ,"
0,",Enteritis due to other viral enteritis                                                                                          ,",,",008.69                                                                                                                          ,"
0,",Infectious diarrhea                                                                                                             ,",,",009.2                                                                                                                           ,"
0,",Diarrhea of presumed infectious origin                                                                                          ,",,",009.3                                                                                                                           ,"
0,",Tuberculosis of lung with cavitation, unspecified                                                                               ,",,",011.20                                                                                                                          ,"
0,",Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy                                          ,",,",011.23                                                                                                                          ,"
0,",Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosi,",,",011.26                                                                                                                          ,"
0,",Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy                                                  ,",,",011.43                                                                                                                          ,"
0,",Tuberculous bronchiectasis, unspecified                                                                                         ,",,",011.50                                                                                                                          ,"
0,",Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)                                    ,",,",011.52                                                                                                                          ,"
0,",Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculo,",,",011.86                                                                                                                          ,"
0,",Pulmonary tuberculosis, unspecified, unspecified                                                                                ,",,",011.90                                                                                                                          ,"
0,",Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy                                           ,",,",011.93                                                                                                                          ,"
0,",Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture       ,",,",011.94                                                                                                                          ,"
0,",Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis,",,",011.96                                                                                                                          ,"
0,",Tuberculous pleurisy, unspecified                                                                                               ,",,",012.00                                                                                                                          ,"
0,",Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by,",,",013.06                                                                                                                          ,"
0,",Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by o,",,",013.26                                                                                                                          ,"
0,",Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified                                                ,",,",014.80                                                                                                                          ,"
0,",Tuberculosis of vertebral column, unspecified                                                                                   ,",,",015.00                                                                                                                          ,"
0,",Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy                                              ,",,",015.03                                                                                                                          ,"
0,",Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture          ,",,",015.04                                                                                                                          ,"
0,",Tuberculosis of kidney, unspecified                                                                                             ,",,",016.00                                                                                                                          ,"
0,",Tuberculosis of other urinary organs, unspecified                                                                               ,",,",016.30                                                                                                                          ,"
0,",Tuberculosis of other male genital organs, unspecified                                                                          ,",,",016.50                                                                                                                          ,"
0,",Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture    ,",,",017.24                                                                                                                          ,"
0,",Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculo,",,",017.96                                                                                                                          ,"
0,",Miliary tuberculosis, unspecified, unspecified                                                                                  ,",,",018.90                                                                                                                          ,"
0,",Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis c,",,",018.96                                                                                                                          ,"
0,",Other specified tularemia                                                                                                       ,",,",021.8                                                                                                                           ,"
0,",Brucella melitensis                                                                                                             ,",,",023.0                                                                                                                           ,"
0,",Listeriosis                                                                                                                     ,",,",027.0                                                                                                                           ,"
0,",Erysipelothrix infection                                                                                                        ,",,",027.1                                                                                                                           ,"
0,",Pasteurellosis                                                                                                                  ,",,",027.2                                                                                                                           ,"
0,",Other specified zoonotic bacterial diseases                                                                                     ,",,",027.8                                                                                                                           ,"
0,",Pulmonary diseases due to other mycobacteria                                                                                    ,",,",031.0                                                                                                                           ,"
0,",Disseminated due to other mycobacteria                                                                                          ,",,",031.2                                                                                                                           ,"
0,",Other specified mycobacterial diseases                                                                                          ,",,",031.8                                                                                                                           ,"
0,",Diphtheritic peritonitis                                                                                                        ,",,",032.83                                                                                                                          ,"
0,",Cutaneous diphtheria                                                                                                            ,",,",032.85                                                                                                                          ,"
0,",Other specified diphtheria                                                                                                      ,",,",032.89                                                                                                                          ,"
0,",Diphtheria, unspecified                                                                                                         ,",,",032.9                                                                                                                           ,"
0,",Whooping cough, unspecified organism                                                                                            ,",,",033.9                                                                                                                           ,"
0,",Streptococcal sore throat                                                                                                       ,",,",034.0                                                                                                                           ,"
0,",Scarlet fever                                                                                                                   ,",,",034.1                                                                                                                           ,"
0,",Erysipelas                                                                                                                      ,",,",035                                                                                                                             ,"
0,",Meningococcal meningitis                                                                                                        ,",,",036.0                                                                                                                           ,"
0,",Meningococcal encephalitis                                                                                                      ,",,",036.1                                                                                                                           ,"
0,",Other specified meningococcal infections                                                                                        ,",,",036.89                                                                                                                          ,"
0,",Staphylococcal septicemia, unspecified                                                                                          ,",,",038.10                                                                                                                          ,"
0,",Septicemia due to hemophilus influenzae [H. influenzae]                                                                         ,",,",038.41                                                                                                                          ,"
0,",Pulmonary actinomycotic infection                                                                                               ,",,",039.1                                                                                                                           ,"
0,",Cervicofacial actinomycotic infection                                                                                           ,",,",039.3                                                                                                                           ,"
0,",Actinomycotic infection of other specified sites                                                                                ,",,",039.8                                                                                                                           ,"
0,",Actinomycotic infection of unspecified site                                                                                     ,",,",039.9                                                                                                                           ,"
0,",Gas gangrene                                                                                                                    ,",,",040.0                                                                                                                           ,"
0,",Whipple,,s disease                                                                                                               ,",,",040.2                                                                                                                           ,"
0,",Toxic shock syndrome                                                                                                            ,",,",040.82                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified                  ,",,",041.00                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A                      ,",,",041.01                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B                      ,",,",041.02                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C                      ,",,",041.03                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]       ,",,",041.04                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G                      ,",,",041.05                                                                                                                          ,"
0,",Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus                         ,",,",041.09                                                                                                                          ,"
0,",Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified                ,",,",041.10                                                                                                                          ,"
0,",Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site                        ,",,",041.11                                                                                                                          ,"
0,",Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site                          ,",,",041.12                                                                                                                          ,"
0,",Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus                       ,",,",041.19                                                                                                                          ,"
0,",Pneumococcus infection in conditions classified elsewhere and of unspecified site                                               ,",,",041.2                                                                                                                           ,"
0,",Friedl??nder,,s bacillus infection in conditions classified elsewhere and of unspecified site                                    ,",,",041.3                                                                                                                           ,"
0,",Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site                                 ,",,",041.4                                                                                                                           ,"
0,",Other and unspecified Escherichia coli [E. coli]                                                                                ,",,",041.49                                                                                                                          ,"
0,",Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site                      ,",,",041.5                                                                                                                           ,"
0,",Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site                             ,",,",041.6                                                                                                                           ,"
0,",Pseudomonas infection in conditions classified elsewhere and of unspecified site                                                ,",,",041.7                                                                                                                           ,"
0,",Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma                     ,",,",041.81                                                                                                                          ,"
0,",Bacteroides fragilis                                                                                                            ,",,",041.82                                                                                                                          ,"
0,",Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens        ,",,",041.83                                                                                                                          ,"
0,",Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes                ,",,",041.84                                                                                                                          ,"
0,",Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms  ,",,",041.85                                                                                                                          ,"
0,",Helicobacter pylori [H. pylori]                                                                                                 ,",,",041.86                                                                                                                          ,"
0,",Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria       ,",,",041.89                                                                                                                          ,"
0,",Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site                                    ,",,",041.9                                                                                                                           ,"
0,",Other and unspecified Creutzfeldt-Jakob disease                                                                                 ,",,",046.19                                                                                                                          ,"
0,",Progressive multifocal leukoencephalopathy                                                                                      ,",,",046.3                                                                                                                           ,"
0,",Other specified viral meningitis                                                                                                ,",,",047.8                                                                                                                           ,"
0,",Other enterovirus diseases of central nervous system                                                                            ,",,",048                                                                                                                             ,"
0,",Varicella (hemorrhagic) pneumonitis                                                                                             ,",,",052.1                                                                                                                           ,"
0,",Chickenpox with other specified complications                                                                                   ,",,",052.7                                                                                                                           ,"
0,",Varicella without mention of complication                                                                                       ,",,",052.9                                                                                                                           ,"
0,",Herpes zoster with meningitis                                                                                                   ,",,",053.0                                                                                                                           ,"
0,",Herpes zoster with unspecified nervous system complication                                                                      ,",,",053.10                                                                                                                          ,"
0,",Geniculate herpes zoster                                                                                                        ,",,",053.11                                                                                                                          ,"
0,",Postherpetic trigeminal neuralgia                                                                                               ,",,",053.12                                                                                                                          ,"
0,",Postherpetic polyneuropathy                                                                                                     ,",,",053.13                                                                                                                          ,"
0,",Herpes zoster myelitis                                                                                                          ,",,",053.14                                                                                                                          ,"
0,",Herpes zoster with other nervous system complications                                                                           ,",,",053.19                                                                                                                          ,"
0,",Herpes zoster dermatitis of eyelid                                                                                              ,",,",053.20                                                                                                                          ,"
0,",Herpes zoster keratoconjunctivitis                                                                                              ,",,",053.21                                                                                                                          ,"
0,",Herpes zoster iridocyclitis                                                                                                     ,",,",053.22                                                                                                                          ,"
0,",Herpes zoster with other ophthalmic complications                                                                               ,",,",053.29                                                                                                                          ,"
0,",Otitis externa due to herpes zoster                                                                                             ,",,",053.71                                                                                                                          ,"
0,",Herpes zoster with other specified complications                                                                                ,",,",053.79                                                                                                                          ,"
0,",Herpes zoster with unspecified complication                                                                                     ,",,",053.8                                                                                                                           ,"
0,",Herpes zoster without mention of complication                                                                                   ,",,",053.9                                                                                                                           ,"
0,",Eczema herpeticum                                                                                                               ,",,",054.0                                                                                                                           ,"
0,",Genital herpes, unspecified                                                                                                     ,",,",054.10                                                                                                                          ,"
0,",Herpetic vulvovaginitis                                                                                                         ,",,",054.11                                                                                                                          ,"
0,",Herpetic ulceration of vulva                                                                                                    ,",,",054.12                                                                                                                          ,"
0,",Herpetic infection of penis                                                                                                     ,",,",054.13                                                                                                                          ,"
0,",Other genital herpes                                                                                                            ,",,",054.19                                                                                                                          ,"
0,",Herpetic gingivostomatitis                                                                                                      ,",,",054.2                                                                                                                           ,"
0,",Herpetic meningoencephalitis                                                                                                    ,",,",054.3                                                                                                                           ,"
0,",Herpes simplex with unspecified ophthalmic complication                                                                         ,",,",054.40                                                                                                                          ,"
0,",Herpes simplex dermatitis of eyelid                                                                                             ,",,",054.41                                                                                                                          ,"
0,",Dendritic keratitis                                                                                                             ,",,",054.42                                                                                                                          ,"
0,",Herpes simplex disciform keratitis                                                                                              ,",,",054.43                                                                                                                          ,"
0,",Herpes simplex with other ophthalmic complications                                                                              ,",,",054.49                                                                                                                          ,"
0,",Herpetic septicemia                                                                                                             ,",,",054.5                                                                                                                           ,"
0,",Herpetic whitlow                                                                                                                ,",,",054.6                                                                                                                           ,"
0,",Herpes simplex meningitis                                                                                                       ,",,",054.72                                                                                                                          ,"
0,",Herpes simplex with other specified complications                                                                               ,",,",054.79                                                                                                                          ,"
0,",Herpes simplex with unspecified complication                                                                                    ,",,",054.8                                                                                                                           ,"
0,",Herpes simplex without mention of complication                                                                                  ,",,",054.9                                                                                                                           ,"
0,",Erythema infectiosum (fifth disease)                                                                                            ,",,",057.0                                                                                                                           ,"
0,",Other specified viral exanthemata                                                                                               ,",,",057.8                                                                                                                           ,"
0,",Viral exanthem, unspecified                                                                                                     ,",,",057.9                                                                                                                           ,"
0,",Roseola infantum, unspecified                                                                                                   ,",,",058.10                                                                                                                          ,"
0,",Human herpesvirus 6 encephalitis                                                                                                ,",,",058.21                                                                                                                          ,"
0,",Other human herpesvirus encephalitis                                                                                            ,",,",058.29                                                                                                                          ,"
0,",Human herpesvirus 6 infection                                                                                                   ,",,",058.81                                                                                                                          ,"
0,",Dengue                                                                                                                          ,",,",061                                                                                                                             ,"
0,",Tick-borne fever                                                                                                                ,",,",066.1                                                                                                                           ,"
0,",West Nile Fever with encephalitis                                                                                               ,",,",066.41                                                                                                                          ,"
0,",Viral hepatitis A without mention of hepatic coma                                                                               ,",,",070.1                                                                                                                           ,"
0,",Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta                                   ,",,",070.20                                                                                                                          ,"
0,",Chronic viral hepatitis B with hepatic coma without hepatitis delta                                                             ,",,",070.22                                                                                                                          ,"
0,",Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta                     ,",,",070.30                                                                                                                          ,"
0,",Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta                                    ,",,",070.32                                                                                                                          ,"
0,",Other specified viral hepatitis with hepatic coma                                                                               ,",,",070.49                                                                                                                          ,"
0,",Acute hepatitis C without mention of hepatic coma                                                                               ,",,",070.51                                                                                                                          ,"
0,",Hepatitis E without mention of hepatic coma                                                                                     ,",,",070.53                                                                                                                          ,"
0,",Other specified viral hepatitis without mention of hepatic coma                                                                 ,",,",070.59                                                                                                                          ,"
0,",Unspecified viral hepatitis C without hepatic coma                                                                              ,",,",070.70                                                                                                                          ,"
0,",Unspecified viral hepatitis without mention of hepatic coma                                                                     ,",,",070.9                                                                                                                           ,"
0,",Ornithosis with pneumonia                                                                                                       ,",,",073.0                                                                                                                           ,"
0,",Herpangina                                                                                                                      ,",,",074.0                                                                                                                           ,"
0,",Epidemic pleurodynia                                                                                                            ,",,",074.1                                                                                                                           ,"
0,",Coxsackie pericarditis                                                                                                          ,",,",074.21                                                                                                                          ,"
